caper               leap cavort gambol frolic prance 
busy                occupied engaged engrossed employed 
quaint              old-fashioned picturesque 
menu                bill of fare diet list 
bust                failure arrest breast 
bush                shrub clump thicket hedge scrub 
bliss               happiness ecstasy rapture pleasure 
rich                wealthy affluent opulent fertile 
mend                repair restore correct improve 
plate               dish utensil tray slab 
foremost            leading first precedent chief 
pocket              pouch bin purse hollow 
cushion             pad pillow mat seat 
relish              zest gusto flavor taste spice 
patch               piece segment spot repair 
release             free liberate give out relinquish 
hasten              hurry hustle run speed trot 
traverse            cross ford range patrol obstruct 
mandatory           required compulsory binding 
disaster            casualty catastrophe tragedy 
fair                beautiful handsome pretty comely 
sensitivity         allergy feeling irritability 
irritable           fretful peevish touchy sensitive 
radius              spoke half-diameter range scope 
result              consequence conclusion outcome 
fail                blunder misfire miss topple 
hero                victor inspiration ideal model 
hammer              strike beat drum pound mallet 
best                choice unequalled unparalleled 
irk                 annoy discontentment bothersome 
scorn               contempt disdain ridicule despise 
ire                 incense wrath fury rage anger 
preserve            cure pickle save protect shield 
wage                undertake carry on conduct make 
splinter            shard sliver shaving fragment 
extend              continue lengthen widen enlarge 
nature              character essence basic quality 
impetus             impulse force stimulus motive 
extent              limit measure range span 
debt                obligation liability debit account 
pity                compassion sympathy lamentation 
accident            mishap injury casualty chance 
veer                swerve shift deviate 
disdain             scorn contempt arrogance 
country             land region tract district plain 
incense             inflame heat infuriate anger ire 
pith                pulp core heart essence 
argue               debate discuss reason with dispute 
tinge               color complexion imbue tint 
eradicate           abolish blot out erase exterminate 
rehash              review repeat restate summarize 
vain                proud conceited futile 
canyon              ravine gorge gulch chasm 
penalize            fine handicap scold chasten 
bewilder            puzzle confuse perplex daze 
union               unity concord connection alliance 
subside             sink fall ebb lower abate 
cue                 hint clue intimation signal 
muck                dirt filth slime mud 
much                abundance ample plenty 
fry                 panfry griddle saute 
incompetent         incapable inept inefficient 
obese               fat overweight stout plump 
life                vitality existence being living 
spit                impale pierce stab sprinkle hiss 
worker              laborer artisan operator yeoman 
snap                crackle pop crack break scold 
lift                raise elevate exalt uplift 
child               youth kid youngster 
spin                twirl whirl rotate gyrate 
chill               shivering shakes ague discourage 
dissect             cut up anatomize examine analyze 
employ              use occupy hire engage 
player              performer actor musician participant 
elicit              draw forth extract evoke educe 
violin              fiddle string amati stradivarius 
transfuse           set into insert infuse inject 
memorial            commemorative shrine tablet 
severity            rigor tyranny asperity hardness 
rebellion           revolt uprising insurrection 
harmony             agreement concurrence concord peace 
rebound             bounce ricochet react 
haggard             drawn gaunt cadaverous ugliness 
academic            scholastic collegiate scholarly 
stillness           hush quite calm lull tranquility 
bellow              roar shout bawl 
distribute          allot parcel apportion disperse 
beset               beseige attack stud or ornament 
disguise            camouflage make-up concealment mask 
plight              quandary predicament dilemma 
succeeding          posterior subsequent next after 
previous            preceding former prior antecedent 
endue               endow clothe furnish 
ease                comfort luxury rest repose content 
innocent            ignorant simple upright faultless 
prison              dungeon jail penitentiary 
falter              hesitate waver vacillate stumble 
hat                 headgear bonnet derby headdress 
elevation           raising uplift height eminence 
quirk               flourish quip taunt jibe 
confection          dessert sweet jam dainty pastry 
disagreement        discord dissent mixup conflict 
possibly            maybe perhaps by chance 
birth               origin creation genesis inception 
unlikely            improbable doubtful dubious 
shadow              umbra silhouette shade follower 
unique              sole single only rare unusual 
desire              wish fancy fantasy want longing 
prologue            preface introduction preamble 
attorney            lawyer agent 
right               virtue lawful correct accurate good 
crowd               gathering concourse horde mass gang 
people              humanity populace 
creed               belief tenet doctrine persuasion 
crown               coronate wreathe enthrone adorn 
animate             liven cheer enliven encourage 
creep               crawl inch slither writhe 
bottom              base foot sole foundation 
inhuman             cruel barbarous bestial brutal 
foe                 enemy adversary antagonist opponent 
fog                 haze mist steam murk exhalation 
exposition          explanation exhibition show 
palatable           tasty savory appetizing 
yoke                union bond chain link tie 
memorable           noteworthy outstanding unforgettable 
recollect           recall remember bring to mind 
despair             hopelessness sadness discouragement 
meddle              tamper interfere intrude 
gauze               net tulle bandage 
sod                 turf clod divot 
facility            ease free clear smooth lighten 
son                 male child boy descendant inheritor 
administer          govern rule manage control 
respectable         worthy reputable decent estimable 
sow                 sprinkle seed scatter plant 
wrap                robe shawl cloak coat cover 
fabric              cloth material tissue textile 
panorama            scene view spectacle scenery 
support             aid help backbone upkeep groundwork 
tame                domestic broken subdued meek gentle 
avail               serve do suffice help 
width               breadth span extent expanse 
overhead            costs expenditure capital 
happy               fortunate lucky gay contented 
offer               tender bid advance ultimatum 
fascination         charm attraction captivation 
thesaurus           treasury repository dictionary 
understandable      basic clear sensible reasonable 
safeguard           anchor precaution protection shield 
handily             skillfully neatly easily 
inside              in inner interior inward within 
pest                plague epidemic infestation 
juvenile            youngster minor adolescent young one 
liberal             lavish unselfish tolerant receptive 
crumble             perish pulverize fall apart decay 
soothe              calm quiet assuage mitigate 
exist               live subsist breathe survive 
accounting          bookkeeping audit ledger budget 
dealer              barter merchant vendor 
leer                smirk wink look ogle make eyes 
floor               deck pavement story level covering 
glacier             ice iceberg floe berg 
insane              mad manic crazy deranged wild 
flood               deluge inundation torrent freshet 
zany                clown buffoon fool jester 
smell               scent stink inhale detect nose out 
roll                coil curl scroll tumble wallow 
ointment            unguent balm pomade salve cream 
comely              fair handsome lovely pretty 
intent              earnest sincere absorbed engrossed 
variable            changeable alterable inconstant 
entrust             commission charge delegate confide 
fastener            button clamp pin buckle hook 
time                duration period span age 
push                nudge thrust shove press 
gown                negligee nightgown robe dress 
chain               range series yoke connect attach 
viaduct             bridge underpass way aquaduct 
convoy              accompany escort guard support 
midst               center middle 
vex                 tease plague harass torment 
crater              volcano hole depression pit 
irksome             troublesome irritating tedious 
oversight           omission error blunder slip 
persevere           persist plod remain pusue 
jerk                twist tweak pull snap twitch 
